card_select.avail_basic	此角色可使用基本角色卡來創造
card_select.avail_premium	此角色需要優質角色卡
card_select.cancel_button	取消
card_select.card_unusable	無法使用
card_select.card_usable	可使用
card_select.no_avail_card	無法使用的卡片.
card_select.not_in_beta	商店在正式服務後才能使用.
card_select.ok_button	確認
card_select.select_card	請選擇要使用的卡片後按確認.
card_select.shop_button	購買卡片
card_select.title	選擇卡片
castlebidcancelview.cancelbutton	取消投標
castlebidcancelview.keepbutton	維持投標
code.gameserver.commonapi.isposiblebenchseat	無法一起坐下.
donationranking.contents.1	雷米斯慈善捐贈佈告欄
donationranking.contents.2	雷米斯慈善捐贈
donationranking.contents.3	捐款總額
donationranking.contents.4	確認
etc.card_shop_webpage	https://www.mabinogi.com/game/6_shop_open.asp?userid={0}&userpass={1}&page=lobbyshop2
etc.card_shop_webpage.3rdarg	lobbyshop2
etc.card_shop_webpage2	https://www.mabinogi.com/game/6_shop_open.asp?userid={0}&userpass={1}&page={2}
etc.cash_item_loading	商城道具下載中...
etc.cash_item_text	商城道具
etc.character.exp_tooltip	目前經驗值 : {0}\n下一個等級 : {1}
etc.chat_channel.default	全體
etc.chat_channel.guild	公會
etc.chat_channel.party	隊伍
etc.chat_channel.system	系統
etc.chat_channel.trade	交易
etc.chat_channel.whisper	密語
etc.exploexp	現在探險經驗值 : {0}\n下一個等級 : {1}
etc.guild.public_type_open	公開
etc.guild.public_type_private	非公開
etc.guild.type_adventure	冒險
etc.guild.type_combat	戰鬥
etc.guild.type_commercial	商業
etc.guild.type_etc	其他
etc.guild.type_production	生產
etc.guild.type_social	社交
etc.keyword.type_basic	基礎
etc.keyword.type_high	高級會話
etc.keyword.type_info	情報
etc.keyword.type_medium	中級
etc.keyword.type_myknights	關心會話
etc.magic_seal.type_black	黑色魔法印章
etc.magic_seal.type_green	綠色魔法印章
etc.magic_seal.type_red	紅色魔法印章
etc.magic_seal.type_yellow	黃色魔法印章
etc.party.exp_mode.divide	平分給每個人
etc.party.exp_mode.finish_all	最後一擊的人全部
etc.party.exp_mode.finish_more	最後一擊的人多一些
etc.party.finish_mode.default	最高貢獻者
etc.party.finish_mode.free	隊員中的任何人
etc.party.finish_mode.roulette	依順序輪流
etc.rank.level_0	練習
etc.rank.level_1_to_15	等級 {0}
etc.rank.level_16_over	等級 0
etc.server_age_condition	{0}歲以上
etc.server_age_recommend	推薦 {0}~{1}歲
etc.server_new_open	新開放
etc.shop.timeout_webpage	https://www.mabinogi.com/game/6_shop_open.asp?userid={0}&userpass={1}&page=timeout
etc.skill.category_admin	管理
etc.skill.category_combat	戰鬥
etc.skill.category_darknight	闇黑武士
etc.skill.category_darknight2	闇黑武士
etc.skill.category_living	生活
etc.skill.category_magic	魔法
etc.skill.category_none	整體
etc.skill.category_transform	聖騎士
etc.skill.category_transform2	變身
etc.skill.category_transform_temp	變身
etc.skill.level_0_desc	根據現在對技能的瞭解還無法夠足以使用此技能.\n在設法滿足某些條件或是從他人那裡學習之後才可使用.
etc.skill.tooltip.exp_text	修煉 {0:exp}/{1:max_exp}
etc.skill.tooltip.invisible_condition	未知的修煉方法
etc.skill.tooltip.tag_enable_advance	(可升級)
etc.spring.regular_name	{0} ({1} 伺服器)
etc.spring.regular_name_noserver	{0} (沒有伺服器)
etc.spring.state_away	離開
etc.spring.state_backsoon	馬上回來
etc.spring.state_blocked	進行封鎖
etc.spring.state_busy	忙碌中
etc.spring.state_dnd	不接受訊息
etc.spring.state_ingame	瑪奇遊戲中
etc.spring.state_offline	離線
etc.spring.state_online	上線
etc.spring.state_seem_offline	標示為離線
etc.time.h	{0}小時
etc.time.h_m	{0}小時 {1}分
etc.time.h_m_s	{0}小時 {1}分 {2}秒
etc.time.h_s	{0}小時 {1}秒
etc.time.m	{0}分
etc.time.m_s	{0}分 {1}秒
etc.time.s	{0}秒
etc.webpage.validate_basiccard	基本角色卡
etc.webpage.validate_petcard	寵物角色卡
etc.webpage.validate_premiumcard	優質角色卡
houseautopaymentview.closebutton	Close\n關閉
houseautopaymentview.okbutton	OK\n確定
housebidview.bidbutton	Bid\n投標
housebidview.closebutton	Close\n關閉
lobby.unable_shop_in_beta	商店在正式服務後才能使用.
lobby.unable_shop_in_beta_title	Notify\n公告
msg.appraisaltooltip_explore_exp	探險經驗值 {0}
msg.appraisaltooltip_gold	獎勵金幣 {0}
msg.appraisaltooltip_place	在{0}挖掘
msg.appraisaltooltip_quality	<bold>鑑定價值 </bold>
msg.ask_get_item	是否接受此道具?
msg.cannot_move_openedpsitem	請先清除個人商店.
msg.cannot_move_pslicense	不能撿目前使用中的許可證.
msg.cannot_move_sellingitem	已設定價格的物品不可移動.
msg.cannot_pick_using_bag	在開設個人商店的狀態中不能撿這個包裹.
msg.cannot_pick_using_bag2	個人商店準備中時不能撿這個包裹.
msg.cannot_sell_check	支票是不可出販售給商店.
msg.channel_move.current	目前連結的分流.
msg.channel_move.desc	移動分流時, 跟登出一樣會有處罰.\n\n- 進行中的兼職將會取消    \n- 在地下城內冒險將會被移動到地下城祭壇休息區\n- 如有組隊則會另開隊伍               \n- 登出處罰        \n\n移動到無法進入的分流時, 將會回到登入遊戲的畫面.
msg.character.bank.ask_deliver	此物品在 [{0}]裡.\n運送到這裡需要{1}分鐘\n運送費是{2} 金幣(Gold) 要運送到此銀行嗎?
msg.character.bank.ask_deliver2	此物品在 [{0}]裡.\n運送到這裡需要{1}秒\n運送費是{2} 金幣(Gold) 要運送到此銀行嗎?
msg.character.bank.cannot_pick_extra_storage	目前尚未使倉儲空間服務功能.\n若想要拿出存放的物品請利用此服務.
msg.character.bank.cannot_put_extra_storage	目前尚未使用倉儲空間服務功能.\n若想在存放的空間裡放入物品請利用此服務.
msg.character.bank.exchange_license	這個許可證已累積了{0} Gold,返回時將得到{1} 金幣(Gold)\n 確定要將許可證返回嗎?
msg.character.bank.no_deposit_1_gold	最低手續費是1 金幣(Gold)所以無法存入.
msg.character.bank.warning_buy_bag_no_extra_storage	目前尚未使用倉儲空間服務功能.\n雖然可以購買袋子但卻無法使用.
msg.character.etc.auto_combat_release_msg	直接進行所有操作.\n可以進行類似動作遊戲的戰鬥.
msg.character.etc.auto_combat_release_title	MANUAL\n手動戰鬥
msg.character.etc.auto_combat_set_msg	與選擇的對象進行一般戰鬥.\n發動技能時使用相應的技能.
msg.character.etc.auto_combat_set_title	AUTOMATIC\n自動戰鬥
msg.character.etc.combat_mode_release	切換成普通模式.
msg.character.etc.combat_mode_set	切換成戰鬥模式.
msg.character.etc.dead_tag	點選人物或是按下ESC鍵會出現選單.
msg.character.etc.move_camera_mode_msg	화면의 위, 아래, 좌우 방향으로 이동합니다.
msg.character.etc.move_camera_mode_title	화면 시점
msg.character.etc.move_fps_mode_msg	캐릭터가 바라보는 방향을 기준으로 전진, 회전합니다.
msg.character.etc.move_fps_mode_title	캐릭터 시점
msg.character.guild.warning_buy_pendant	公會是增加了公會網頁等的資源消費系統\n公會長必須使用倉儲空間服務服務\n\n公開測試期間為了測試系統.任何人都可以成為公會長\n當正式服務開始時.公會長沒有使用倉儲空間服務功能的話\n與公會相關的服務將會暫時中止\n公會會員跟商用服務無關.\n
msg.character.inventory.cannot_move_personal_shop_item	已被設定價格,不能移動物品.
msg.character.inventory.cannot_move_using_bag	無法移動目前正在使用的背包.
msg.character.inventory.cannot_move_using_pslicense	無法移動目前正在使用的許可證.
msg.character.inventory.no_equip_broken	物品的耐久度為0
