animaltraininguse.1	訓練杖已無法使用.
animaltraininguse.2	需要裝備訓練杖和訓練用誘餌.
animaltraininguse.3	訓練野生動物.
animaltraininguse.4	請選擇要訓練的動物.
animaltraininguse.5	成功訓練{0}.
animaltraininguse.6	訓練失敗.
animaltraininguse.7	訓練失敗.
animaltraininguse.8	好像需要怪物再弱一些才能訓練.
animaltraininguse.9	訓練失敗.
animaltraininguse.10	現在無法使用.
animaltraininguse.11	好像無法訓練.
animaltraininguse.12	對訓練有所反應,好像放棄了逃跑.
animaltraininguse.13	對訓練好像有反應,再嘗試一下.
animaltraininguse.14	好像無法訓練.
animaltraininguse.15	無法使用訓練木杖.
animaltraininguse.16	無法使用訓練誘餌.
animaltraininguse.17	在變身為闇黑武士的狀態下, 無法訓練.
anotherdivinity.1	必須解除變身.
anotherdivinity.2	必須解除半神化.
areaofregenerationuse.1	[邊境之痕]不足無法使用特性.
areaofregenerationuse.2	現在特性技術無法使用.
arrowrevolver2use.1	無法使用已過期的武器.
arrowrevolveruse.1	無法使用已過期的武器.
backstepuse.1	目前無法使用技能. {0}秒之後再試試看.
barrieruse.3	需要鋼瓶.
barrieruse.4	缺少可使用的防護壁結晶
barrieruse.5	缺少可使用的防護壁結晶
barrieruse.6	無法再設置 防護壁
barrieruse.7	無法設置防護壁區域
barrieruse.8	無法使用防護壁區域
barrieruse.9	此位置無法設置 防護壁.
barrieruse.10	無法再設置 防護壁
barrieruse.11	要設置防護壁位置有移動物體
barrieruse.12	防護壁結晶不存在
barrieruse.13	防護壁結晶使用失敗
bashuse.1	因為武器耐久度為 0, 因此無法使用猛擊.
bashuse.2	想要使用猛擊的話, 需要近距離戰鬥才能武器.
berserkeruse.1	現在無法變為狂戰士戰士. {0}秒復活後開始可以變為狂戰士戰士.
blacksmithuse.1	已過期.
blacksmithuse.2	在臨時物品欄的道具無法進行生産.
blacksmithuse.3	{0} 專用道具.
blacksmithuse.4	透過特性 [洞察之眼]判讀設計圖後可以製作.
blizzardstrikeuse.1	需要集魔杖.
blizzardstrikeuse.2	魔法不足而 {0} 技能被取消了.
blizzardstrikeuse.3	{0} 技能的使用時間剩下 10秒
blizzardstrikeuse.4	集魔杖的耐久度變為 0而無法使用雹暴.
bloomingmemory.1	給予主人套用 {0}效果.\n召喚寵物的狀態中 {1} 技能修練經驗值 {2}.{3}倍套用.
blowingballoonuse.1	需要漏氣的氣球.
boltout.1	天打雷劈獲得.
boltoutuse.1	現在無法使用技能. 請於{0}秒之後再試試看.
breathofladecause.1	今天再也無法使用.
bunshinuse.1	怪物的靈魂不足{0}個.
bunshinuse.2	지금은 사용할 수 없을 것 같다.
campfireuse.1	橋上不能放置營火.
campfireuse.2	스키 이벤트 중에는 캠프 파이어를 설치할 수 없습니다.
campfireuse.3	沒有木柴, 或是木柴不夠.
campfireuse.4	木柴不夠.
campfireuse.5	沒有木柴, 或是木柴不夠.
campfireuse.6	無法使用的區域.
campfireuse.7	變成甜蜜狀態. 起來的話{0}分鐘內可獲得以下的效果 . \n所有能力 {1} 增加\n最大生命值 {2}增加\n最大魔法值 {3} 增加\n最大耐力值 {4} 增加\n最大傷害 {5} 增加\n暴擊 {6} 增加\n防禦 {7} 增加\n保護 {8} 增加\n魔法防禦 {9} 增加\n魔法保護 {10} 增加\n戰鬥經驗值 {11}% 增加
campfireuse.8	坐著接收氣息.到甜蜜狀態前剩下 {0}分.
campfireuse.9	坐著接收氣息.到甜蜜狀態前剩下 {0}秒.
campfireuse.10	已經是甜蜜狀態. 坐著接收氣息.
campfireuse.11	變成爽快的心情狀態. 起來的話, 在{0}分鐘內可獲得如下效果. \n所有能力值 {1} 增加\n最大生命力 {2}增加\n最大魔力 {3} 增加\n最大耐力 {4} 增加\n最大傷害 {5} 增加\n暴擊 {6} 增加\n防禦 {7} 增加\n保護 {8} 增加\n魔法防禦 {9} 增加\n魔法保護 {10} 增加\n戰鬥經驗值 {11}% 增加
campfireuse.12	坐著接收氣息. 到疲勞完全消散前剩下 {0}分鐘.
campfireuse.13	坐著接收氣息. 到疲勞完全消散前剩下 {0}秒.
campfireuse.14	已經擁有爽快心情. 坐著接收氣息.
campfireuse.15	身體變溫暖的感覺.\n營火周圍 {0}充滿溫暖而且有濃厚的香味.\n附近採取充分的休息.
carpentryuse.1	需要木工作業台.
carpentryuse.2	需要木工作業台.
carpentryuse.3	距離木工作業台太遠
carpentryuse.4	Production Form\n生產技能形式
carpentryuse.5	需要木工作業台.
carpentryuse.6	距離木工作業台太遠
carpentryuse.7	Production Form\n生產技能形式
carpentryuse.8	距離木工作業台太遠
carpentryuse.9	完成可以與神匹敵, 最高品質的 {0} !
carpentryuse.10	你的誠意感動了上天!  這次製作出不輸給任何商品的優質品 {0} !
carpentryuse.11	完成了比大眾 {0}更高水準的 {0} .
carpentryuse.12	雖然沒有特別優質, 但耐久度比商店的物品更高.
carpentryuse.13	跟商店的商品品質差不多
carpentryuse.14	雖然品質不是很好, 但只要好好整修, 還是可以變強.
carpentryuse.15	雖然完成了, 但只有品質不太好的 {0} 
