autobotdescmgr.1	戰鬥經驗值獎勵 {0}%
autobotdescmgr.2	移動速度 {0}%
autobotdescmgr.3	{0} 增加
autobotdescmgr.4	爆擊傷害值 {0}%
autobotdescmgr.5	寵物戰鬥經驗值bonus {0}%
autobotdescmgr.6	음악 버프 스킬 지속시간 {0}
autobotdescmgr.7	공격 속도 {0}%
booleanfunctionhandler.1	精靈或支持精靈時
booleanfunctionhandler.2	巨人或支持巨人時
booleanfunctionhandler.3	正在召喚巨魔像中
booleanfunctionhandler.4	正在設置防護壁中
booleanfunctionhandler.5	寵物召喚中
campfirespiritmgr.1	[패널티 초기화] 동일 모닥불 반복 소각 패널티
campfirespiritmgr.2	[패널티 초기화] 일일 반복 소각 패널티
campfirespiritmgr.3	[패널티 정보] 패널티 총합: {0}%\n -> 동일 모닥불 반복 소각 패널티: {1}%, 소각횟수: {2}, 프랍ID: {3}\n -> 일일 반복 소각 패널티: {4}%
camputil.1	在倉庫內沒有營火工具
camputil.2	把營火工具放在個人商店
chainskilldesc.1	使用第{0}階段連續技之後就可使用技能.
commercedescmgr.1	個
compareskilllevelhandler.1	{0}等級處於 {1}級時
compareskilllevelhandler.2	{0}等級處於 {1}級以上時
compareskilllevelhandler.3	{0}等級處於 {1}級以下時
compareskilllevelhandler.4	{0} 等級 {1} 以上時貿易中
compareskilllevelhandler.5	{0} 等級 {1}段以上時貿易中
compareskilllevelhandler.6	{0} 特性 {1}等級以上時
continentmgr.1	歐拉大陸
continentmgr.2	伊利亞大陸
continentmgr.3	貝爾法斯特島
continentmgr.4	莫邪海
divineknightdescmgr.1	防禦
divineknightdescmgr.2	束縛
divineknightdescmgr.3	懲戒
dungeon.downstairs	<mini>DOWN</mini> 下一層
erinnlandachievementdescmgr.1	一般
erinnlandachievementdescmgr.2	限定
erinnlandachievementdescmgr.3	迷你遊戲
erinnlandachievementdescmgr.4	精彩活動
etc.combat_power.strong1	看似非常弱強.
etc.combat_power.strong2	看似稍強.
etc.combat_power.strong3	看似強大.
etc.combat_power.strong4	看似非常強大.
etc.combat_power.weak1	看似非常微弱.
etc.combat_power.weak2	看似稍弱.
etc.combat_power.weak3	看似弱小.
etc.combat_power.weak4	看似非常弱小.
etc.daysafter	{0}日後
etc.explo_level	探險等級
etc.exploquest_result_desc_reward_exp	探險經驗值 {0}
etc.gamemonth_albaneiler	春分(Alban Eiler)
etc.gamemonth_albaneiler_desc	提高生產技能成功率.\t增加生活系列技能等級提升獎勵.\t比做衣服時顏色更漂亮.(未具體呈現)
etc.gamemonth_albaneiler_desc_2	提高生產技能成功率.\n增加生活系列技能等級提升獎勵.
etc.gamemonth_albanelved	秋收節(Alban Elved)
etc.gamemonth_albanelved_desc	在商店能以便宜的價格購買東西.\t銀行的手續費降低.\t料理相關技能的成功率提高.(未具體呈現)\t增加料理相關技能等級提升獎勵.(未具體呈現)
etc.gamemonth_albanelved_desc_2	在商店能以便宜的價格購買東西.\n銀行的手續費降低.
etc.gamemonth_albanheruin	立夏(Alban Heruin)
etc.gamemonth_albanheruin_desc	減少無法行動時的懲罰.\t增加魔法相關技能等級提升獎勵.\t提高所有藥水的效果.
etc.gamemonth_albanheruin_desc_2	減少無法行動時的懲罰.\n增加魔法相關技能等級提升獎勵.\n提高所有藥水的效果.
etc.gamemonth_baltane	入夏(Beltane)
etc.gamemonth_baltane_desc	提高做完兼職時的報酬.\t丟出跟相同的物品,會更換地城形狀.\t提高地下城內出現較多物品數量的可能性.
etc.gamemonth_baltane_desc_2	提高做完兼職時的報酬.\n丟出跟相同的物品,會更換地城形狀.\n提高地下城內出現較多物品數量的可能性.
etc.gamemonth_friday	星期五
etc.gamemonth_imbolic	立春(Imbolic)
etc.gamemonth_imbolic_desc	提高暴擊的發生機率.\t提高幸運一擊的機率.\t增加戰鬥相關技能等級提升獎勵.\t增加音樂相關技能等級提升獎勵.
etc.gamemonth_imbolic_desc_2	提高暴擊的發生機率.\n提高幸運一擊的機率.\n增加戰鬥相關技能等級提升獎勵.\n增加音樂相關技能等級提升獎勵.
etc.gamemonth_lughnasadh	秋收(Lughnasadh)
etc.gamemonth_lughnasadh_desc	提高魔力賦予的成功率.\t提高從自然界或動物中獲得物品的機率.\t減少因讀書而消耗的耐力.\t增加從具有魔法印章的讀書中獲得能力的可能性.
etc.gamemonth_lughnasadh_desc_2	提高魔力賦予的成功率.\n提高從自然界或動物中獲得物品的機率.\n減少因讀書而消耗的耐力.\n增加從具有魔法印章的讀書中獲得能力的可能性.
etc.gamemonth_monday	星期一
etc.gamemonth_notice	今天愛爾琳是{0}.\t今天的效果如下....\t{1}
etc.gamemonth_samhain	山夏(Samhain)
etc.gamemonth_samhain_desc	年齡增加獲得 AP.\t提高飲食的基本效果.\t增加完成技能的完全修煉時所獲得的經驗值.
etc.gamemonth_samhain_desc_2	年齡增加獲得 AP.\n提高飲食的基本效果.\n增加完成技能的完全修煉時所獲得的經驗值.
etc.gamemonth_saturday	星期六
etc.gamemonth_sunday	星期日
etc.gamemonth_thursday	星期四
etc.gamemonth_tuesday	星期二
etc.gamemonth_wednesday	星期三
etc.gameword.accessory	飾品
etc.gameword.ceann_harbor	凱安港口
etc.gameword_elemental_fire	火屬性
etc.gameword_elemental_ice	冰屬性
etc.gameword_elemental_lightning	雷屬性
etc.gameword_etc_exp	經驗值
etc.gameword_item.attack_max	最大攻擊力
etc.gameword_item.attack_min	最小攻擊力
etc.gameword_item.attack_speed	攻擊速度
etc.gameword_item.balance	平衡性
etc.gameword_item.critical	暴擊率
etc.gameword_item.defense	防禦力
etc.gameword_item.down_hit_count	連擊次數
etc.gameword_item.durability	耐久度
etc.gameword_item.durability_max	最大耐久度
etc.gameword_item.protect	保護
etc.gameword_item.range	有效射程距離
etc.gameword_item.wound_max	最大負傷率
etc.gameword_item.wound_min	最小負傷率
etc.gameword_param_age	年齡
etc.gameword_param_attackmax	最大傷害
etc.gameword_param_attackmin	最小傷害
etc.gameword_param_ciritcal	暴擊率
etc.gameword_param_defense	防禦
etc.gameword_param_dexterity	敏捷
etc.gameword_param_food	飢餓度
etc.gameword_param_intelligence	智力
etc.gameword_param_level	等級
etc.gameword_param_life	生命值
etc.gameword_param_lifemax	最大生命值
etc.gameword_param_luck	幸運
etc.gameword_param_mana	魔法值
etc.gameword_param_manamax	最大魔法值
etc.gameword_param_protect	保護
etc.gameword_param_rate	損害平衡性
etc.gameword_param_stamina	耐力值
etc.gameword_param_staminamax	最大耐力值
etc.gameword_param_strength	力量
etc.gameword_param_wattackmax	最大負傷率
etc.gameword_param_wattackmin	最小負傷率
etc.gameword_param_will	意志
etc.gameword_param_wound	負傷
etc.house_estate.bidding_due	{0}月{1}日  {2}點{3}分
etc.house_form.site_address_num	號
etc.house_form.site_address_street	路
etc.interface_houseestate.0	{0}月{1}日  {2}點{3}分
etc.invalid_material	在材料中有還未完成的物品
etc.invalid_skill_trainingcondition	\n技能數據有誤.\n完成技能修煉經驗值100以下.\n技能名稱 : {0},技能等級 : {1}
etc.journaltime	{0}月 {1}日 {2}點
etc.option.in_arbeit	{0} 兼職 {1}次以上完成時
etc.option.in_broken	斷掉的時候
etc.option.in_condition	{0}的狀態
etc.option.in_month	{0} 時
etc.option.in_title	{0} 冠上稱號時
etc.option.not_in_broken	沒有斷掉時
etc.quest_of_who	{0}的 {1}
etc.quest_result_desc_item_quantity	{0} {1} 個
etc.quest_result_desc_reward_ap	AP{0}
etc.quest_result_desc_reward_exp	{0:GW_EXP}{1:exp_value}
etc.quest_result_desc_reward_gold	賞金 {0}
etc.quest_result_desc_reward_questscroll	任務卷軸
etc.quest_result_desc_reward_unit_of_ap	點
etc.quest_result_desc_reward_writechronicle	記錄在探勘年表
etc.ruin_discoverer	{0} 發現的 {1}
etc.skill_training_string	練習
interface_buffer.1	{0} 恢復速度 {1}%
interface_buffer.2	{0}恢復 每{1}秒 {2}點
interface_buffer.3	{0:param} {1:value} 增加
interface_buffer.4	{0:param} {1:value} 減少
interface_character.1	目前還無法進行大陸移動.
interface_character.2	卡普港口
interface_character.3	首先在卡普搭船訪問貝爾法斯特.
interface_character.4	無法進行大陸移動.
interface_character.5	目前還無法進行大陸移動.
interface_character.6	參加搶旗子活動中無法進行大陸移動.
interface_character.7	參加騎士競技大賽中無法進行大陸移動.
interface_character.8	無法大陸移動狀態.
interface_character.9	在農場無法進行大陸移動.
interface_character.10	在美容室無法進行大陸移動.
interface_character.11	耳朵
interface_character.12	眼睛
interface_character.13	嘴巴
interface_character.14	 種類的道具無法一同穿戴.
interface_character.15	{}
interface_character.16	似乎沒辦法這樣穿.
interface_character.17	在這個地方無法進行大陸移動.
interface_character.18	目前無法進行.\n完成[大陸的情勢] 任務後可進行大陸移動.
interface_characteretc.1	現在這個位置無法儲存下來.
interface_characteretc.2	對戰中無法儲存.
interface_characteretc.3	搭乘中無法儲存.
interface_characteretc.4	騎士競技大會進行中無法進行儲存.
interface_characteretc.5	時尚大賽中無法儲存.
interface_characteretc.6	搭乘中無法移動.
interface_characteretc.7	戰鬥中無法移動.
interface_characteretc.8	木筏/熱氣球/船搭成狀態之下無法進行移動.
interface_characteretc.9	騎士競技大會進行中無法進行移動.
interface_characteretc.10	目前為無法移動的狀態.
interface_characteretc.11	無法把該地區儲存起來.
interface_characteretc.12	此角色無法收看.
interface_characteretc.13	目前所在位置無法收看.
interface_characteretc.14	死亡狀態下無法收看.
interface_characteretc.15	搭乘中無法收看.
interface_characteretc.16	騎士競技中無法收看.
interface_characteretc.17	時尚大賽中無法收看.
interface_characteretc.18	交易中無法收看.
interface_characteretc.19	在熱氣球和木筏上無法收看.
interface_characteretc.20	PVP中無法收看.
interface_characteretc.21	此為無法移動的地區.
interface_characteretc.22	為無法登錄的地區.
interface_characteretc.23	貿易途中無法傳送.
interface_condition.1	手已滿,無法進行其他行動.\n請更換裝備後再試.
interface_dungeonguide.1	移動失敗.
interface_dungeonguide.2	移動失敗.\n請確認入場條件.
interface_dungeonguide.3	無法使用新手教學進行中的角色.
interface_echostone.1	力量
interface_echostone.2	智力
interface_echostone.3	敏捷
interface_echostone.4	意志
interface_echostone.5	生命值, 魔力, 耐力
interface_echostone.6	奇怪的道具
interface_echostone.7	只有在{0} 難易度以上時才可使用.
interface_event.1	沒有獲得特性,無法使用道具.
interface_event.2	非畫片遊戲活動進行期間.
interface_event.3	為已在進行中的對決
interface_event.4	無法進行對決的地區.
interface_event.5	於無法戰鬥狀態之下無法進行.
interface_event.6	於對戰中無法進行.
interface_event.7	於寵物對戰狀態之下無法進行.
interface_event.8	於搭乘狀態之下無法進行.
interface_event.9	於滑雪狀態之下無法進行.
interface_event.10	於時尚秀狀態之下無法進行.
interface_event.11	於水球對決之下無法進行.
interface_event.12	於活動狀態之下無法進行.
interface_event.13	已經在進行剪刀石頭布活動了.
interface_event.14	於戰鬥中無法進行.
interface_event.15	於對戰中無法進行.
interface_event.16	於使用技能中無法進行.
interface_event.17	於騎士競技大會中無法進行.
interface_event.18	無法以坐在椅子上的狀態進行.
interface_focuslisten.1	最多只可封鎖 50名.
interface_fynnpetcomponent.1	在無法行動的狀態下,不能使用.
interface_fynnpetcomponent.2	在浪漫農場中,無法使用.
interface_houseform.1	{0}路 {1}號
interface_inventory.1	與魔杖對應的魔法屬性消失了!!
interface_inventory.2	雖然魔杖的耐久度為 0\n但會阻止{0}道具魔法蒸發.
interface_inventory.3	雖然魔杖的耐久度為 0\n但會阻止{0}道具魔法部分蒸發.
interface_inventory.4	魔杖的耐久度變為 0的同時\n和魔杖連結的魔法部分被蒸發了!!
interface_inventory.5	魔杖的耐久度變為 0的同時\n和魔杖連結的魔法部分被蒸發了!!
interface_inventory.6	會阻止{0}道具魔法蒸發.
interface_inventory.7	會阻止{0}道具魔法部分蒸發.
interface_inventory.8	已經在燃燒蠟燭,該營火無法再次燃燒蠟燭.
interface_inventory.9	營火技巧等級低下 (目前等級 : {0})
interface_inventory.10	營火等級不足,選擇的蠟燭無法燃燒.
interface_item.1	神聖的
interface_item.2	無法放入空樂譜.
interface_item.3	無法放入沒有剩餘使用次數的樂譜.
interface_item.4	(關閉)
interface_personalrankingmgr.1	吉爾迦斯
interface_personalshopcustomer.1	防禦工具
interface_personalshopcustomer.2	武器
interface_personalshopcustomer.3	飾品
interface_personalshopcustomer.4	魔力賦予
interface_personalshopcustomer.5	藥水和食物
interface_personalshopcustomer.6	書籍
interface_personalshopcustomer.7	其他
interface_personalshopcustomer.8	全體
interface_personalshopcustomer.9	沒有
interface_personalshopcustomer.10	人類
interface_personalshopcustomer.11	人類/男性
interface_personalshopcustomer.12	人類/女性
interface_personalshopcustomer.13	精靈
interface_personalshopcustomer.14	精靈/男性
interface_personalshopcustomer.15	精靈/女性
interface_personalshopcustomer.16	巨人
interface_personalshopcustomer.17	巨人/男性
interface_personalshopcustomer.18	巨人/女性
interface_personalshopcustomer.19	全體
interface_personalshopcustomer.20	沒有
interface_petmgr.1	如帶有惡魔貓稱號,吞下時會有限制.
interface_petmgr.2	無法吞下此怪物.
interface_petmgr.3	看來無法吞下此怪物.
interface_petmgr.4	此怪物的生命力太強,無法吞下.
interface_petmgr.5	此怪物的力量太強,無法吞下.
interface_prop.1	被{0}破壞的{1}
interface_prop.2	被{0}開啟的{1}
interface_prop.3	{0}開啟的{1}
interface_prop.4	{0}建立的{1}
interface_prop.5	目前組隊成員數 : {0}名
interface_prop.6	紅隊隊員數 : {0}個人
interface_prop.7	藍隊隊員數 : {0}個人
interface_quest.1	(今日任務)
interface_quest.2	(今日任務)
interface_quest.3	 (PC방 오늘의 미션)
interface_quest.4	 (PC방 오늘의 미션)
interface_quest.5	(VIP 今日任務)
interface_quest.6	(VIP 今日任務)
interface_quest.7	新手
interface_quest.8	業餘
interface_quest.9	首席
interface_quest.10	達人
interface_quest.11	一代
interface_quest.12	大師
interface_quest.13	新手
interface_quest.14	簡單
interface_quest.15	普通
interface_quest.16	困難
interface_quest.17	非常困難
interface_quest.18	一代宗師
interface_quest.19	 (評價獎勵)
interface_quest.20	 (榮耀今日的任務)
interface_quest.21	 (榮耀今日的任務)
interface_quest.22	(特別的今日任務)
interface_quest.23	(特別的今日任務)
interface_quest.24	(天藍光稜鏡獎勵)
interface_quest.25	(天藍光稜鏡獎勵)
interface_quest.26	(成長支援符咒bonus)
interface_quest.27	(成長支援符咒bonus)
interface_rockpaperscissors.1	沒有對決卷的話就無法進行剪刀石頭布.
interface_rockpaperscissors.2	對方沒有對決卷.
interface_rockpaperscissors.3	進行剪刀石頭布途中移動到其他地方了.於剪刀石頭布內取消.
interface_rockpaperscissors.4	進行剪刀石頭布途中對方移動到其他地方了.於剪刀石頭布內取消.
interface_rockpaperscissors.5	處於無法戰鬥的狀態.剪刀石頭布取消了.
interface_rockpaperscissors.6	對方處於無法進行戰鬥的狀態.剪刀石頭布取消了.
interface_rockpaperscissors.7	無法進行剪刀石頭布的狀態.
interface_rockpaperscissors.8	對方為無法進行剪刀石頭布的狀態.
interface_servicemgr.1	背包PLUS服務
interface_servicemgr.2	優質服務
interface_servicemgr.3	新夢想生活VIP服務
interface_servicemgr.4	尊榮生活VVIP服務
interface_servicemgr.6	榮耀之尊
interface_shapeshift.1	必須要使用捕夢者才可以變身.
interface_shapeshift.2	現在無法變身.{0}秒後再試.
interface_shapeshift.3	需解除變身,才可變身怪物.
interface_shapeshift.4	乘騎中無法變身.
interface_shapeshift.5	無法變身中.
interface_shapeshift.6	使用雨傘中無法變身.
interface_shapeshift.7	使用釣魚椅子中無法變身.
interface_shapeshift.8	砲台設置中無法變身.
interface_shapeshift.9	使用操縱術中無法變身.
interface_shapeshift.10	此為無法變身的地區.
interface_shapeshift.11	時尚大賽中無法變身.
interface_shapeshift.12	變身精通等級低.
interface_shapeshift.13	날개 사용 중에는 변신할 수 없습니다.
interface_shapeshift.14	使用日光浴床期間無法進行變身.
interface_shapeshift.15	服裝動作中無法變身.
interface_shapeshift.16	想要使用相關技能，幣需穿上有服裝動作第2 技能的服裝才可以 
interface_shapeshift.17	使用動作技能的變身時無法進行其他變身
interface_shapeshift.18	現在是無法變身的狀態.
interface_shapeshift.19	無法變身的狀態.
interface_shapeshift.20	散步中無法變身.
interface_skilldescmgr.1	Skill [{0}] Level[{1}] - invalid promotion count
interface_skilldescmgr.2	Skill [{0}] Level[{1}] - invalid promotion exp
interface_skilldescmgr.3	\n技能數據有錯誤.\n'necessary_crystal' 需要資訊.\n技能名稱 : {0}, 技能等級 : {1}
interface_skilldescmgr.4	\n技能數據有錯誤.\n'alchemy_elemental_ratio' 需要資訊.\n技能名稱 : {0}, 技能等級 : {1}
interface_skilldescmgr.5	\n技能數據有錯誤.\n'alchemy_elemental_point' 需要資訊.\n技能名稱 : {0}, 技能等級 : {1}
interface_skilldescmgr.6	生命 {0}
interface_skilldescmgr.7	魔力 {0}
interface_skilldescmgr.8	耐力 {0}
interface_skilldescmgr.9	力量 {0}
interface_skilldescmgr.10	智力 {0}
interface_skilldescmgr.11	敏捷 {0}
interface_skilldescmgr.12	意志 {0}
interface_skilldescmgr.13	幸運 {0}
interface_skillhandler.1	穿上重盔甲就無法使用第三階段的連續技技能.
interface_skillhandler.2	復原之後使用魔法或鍊金術\n生命力,魔法,耐力都會減少.
interface_skillhandler.3	目前無法使用技能. {0}秒後請重新再試.
interface_skillhandler.4	想要使用{0}{}的話需要 {1}{}.
interface_skillhandler.5	想要使用{0}{}的話需要 {1}{}.
